earthquake_time,earthquake_latitude,earthquake_longitude,earthquake_depth,earthquake_magnitude,nearest_city_latitude,nearest_city_longitude,nearest_city_distance,historical_temp_available
2014-04-13T12:36:19.230Z,-11.4633,162.0511,39.0,7.4,-10.4544,161.9205,113.0,no
2014-04-18T14:27:24.920Z,17.397000000000002,-100.9723,24.0,7.2,17.5204,-101.27,34.0,yes
2014-04-19T13:28:00.810Z,-6.7547,155.0241,43.37,7.5,-6.228,155.566,84.0,no
2014-06-23T20:53:09.700Z,51.8486,178.7352,109.0,7.9,60.5816,169.05,1139.0,yes
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7.0,-25.0667,-130.0833,2028.0,no
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40.0,7.3,13.332,-87.839,94.0,no
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434.0,7.1,-21.1385,-175.2206,310.0,yes
2014-11-15T02:31:41.720Z,1.8929,126.5217,45.0,7.1,0.793,127.363,153.0,yes
2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1,60.7289,-46.0364,1242.0,yes
2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7.0,-8.6189,122.2123,150.0,no
2015-03-29T23:48:31.010Z,-4.7294,152.5623,41.0,7.5,-4.2055,152.1434,74.0,yes
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,28.264,83.972,75.0,no
2015-05-05T01:44:06.380Z,-5.4624,151.8751,55.0,7.5,-4.2055,152.1434,142.0,no
2015-05-07T07:10:19.590Z,-7.2175,154.5567,10.0,7.1,-6.228,155.566,156.0,no
2015-05-12T07:05:19.730Z,27.8087,86.0655,15.0,7.3,27.326,86.087,54.0,no
2015-05-30T11:23:02.110Z,27.8386,140.4931,664.0,7.8,34.7181,137.7327,806.0,yes
2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10.0,7.0,-37.0675,-12.3105,475.0,yes
2015-07-18T02:27:33.820Z,-10.4012,165.1409,11.0,7.0,-10.738,165.8567,87.0,no
2015-07-27T21:41:21.710Z,-2.6286,138.5277,48.0,7.0,-2.533,140.7,242.0,yes
2015-09-16T22:54:32.860Z,-31.5729,-71.6744,22.44,8.3,-31.6296,-71.17,48.0,no
2015-09-16T23:18:41.850Z,-31.5622,-71.4262,28.41,7.0,-31.6296,-71.17,25.0,no
2015-10-20T21:52:02.560Z,-14.8595,167.3028,135.0,7.1,-15.5126,167.1766,74.0,yes
2015-10-26T09:09:42.560Z,36.5244,70.3676,231.0,7.5,37.1298,70.5792,70.0,no
2015-11-24T22:45:38.880Z,-10.5372,-70.9437,606.21,7.6,-11.0333,-68.7333,248.0,yes
2015-11-24T22:50:54.370Z,-10.0598,-71.0184,620.56,7.6,-11.0333,-68.7333,272.0,yes
2015-12-04T22:25:00.110Z,-47.6165,85.0913,35.0,7.1,-33.6564,115.3487,2937.0,yes
2015-12-07T07:50:05.950Z,38.2107,72.7797,22.0,7.2,37.4875,71.5476,135.0,no
2016-01-24T10:30:30.230Z,59.6363,-153.4051,129.0,7.1,59.653,-151.5256,106.0,yes
2016-01-30T03:25:12.220Z,53.9776,158.5463,177.0,7.2,53.062,158.623,102.0,yes
2016-03-02T12:49:48.110Z,-4.9521,94.3299,24.0,7.8,-0.96,100.36,802.0,yes
2016-04-15T16:25:06.220Z,32.7906,130.7543,10.0,7.0,32.8009,130.7006,5.0,yes
2016-04-16T23:58:36.980Z,0.3819,-79.9218,20.59,7.8,0.61,-80.02,27.0,no
2016-04-28T19:33:24.070Z,-16.0429,167.3786,24.0,7.0,-16.1056,167.4189,8.0,no
2016-05-28T09:46:59.780Z,-56.2409,-26.9353,78.0,7.2,-54.2806,-36.508,646.0,no
2016-07-29T21:18:24.740Z,18.5429,145.5073,196.0,7.7,15.2137,145.7546,369.0,yes
2016-08-12T01:26:36.280Z,-22.4765,173.1167,16.37,7.2,-19.5417,169.2817,514.0,yes
2016-08-19T07:32:22.710Z,-55.2852,-31.8766,10.0,7.4,-54.2806,-36.508,318.0,yes
2016-08-29T04:29:57.860Z,-0.0456,-17.8255,10.0,7.1,-7.9286,-14.4119,950.0,yes
2016-09-01T16:37:57.300Z,-37.3586,179.1461,19.0,7.0,-38.6633,178.0181,175.0,no
2016-11-13T11:02:56.340Z,-42.7373,173.054,15.11,7.8,-42.4012,173.6897,64.0,yes
2016-12-08T17:38:46.280Z,-10.6812,161.3273,40.0,7.8,-10.4544,161.9205,70.0,no
2016-12-17T10:51:10.500Z,-4.5049,153.5216,94.54,7.9,-4.2055,152.1434,157.0,no
2016-12-25T14:22:27.010Z,-43.4064,-73.9413,38.0,7.6,-43.0996,-73.6,44.0,no
2017-01-10T06:13:48.140Z,4.4782,122.6171,627.17,7.3,6.0522,121.0022,250.0,no
2017-01-22T04:30:22.960Z,-6.2464,155.1718,135.0,7.9,-6.228,155.566,44.0,no
